ID,Company Name,Trading Name,Category,Parent Bank,Status,Launched,Users,Headquarters,Website,VIFC Status
1,Timo Digital Bank,Timo,Digital Banking Platform,Bản Việt Bank (Viet Capital Bank),Active,2016,2M+,Ho Chi Minh City,timo.vn,
2,TNEX Digital Bank,TNEX,Digital Bank,MSB (Maritime Bank),Active,2021,3M+,Ho Chi Minh City,tnex.com.vn,
3,Cake by VPBank,Cake,Digital Bank,VPBank,Active,2021,5M+,Ho Chi Minh City,cake.vn,
4,Ubank by VPBank,Ubank,SME Digital Banking,VPBank,Active,2022,500K+,Ho Chi Minh City,ubank.com.vn,
5,OCB OMNI,OCB OMNI,Digital Banking Platform,Orient Commercial Bank (OCB),Active,2020,1.5M+,Ho Chi Minh City,ocb.com.vn,
6,LiveBank by TPBank,LiveBank,Automated Banking + Digital,TPBank,Active,2017,8M+,Hanoi,tpb.vn,
7,Digimi by Bac A Bank,Digimi,Digital Banking App,Bac A Bank,Active,2022,300K+,Hanoi,baca-bank.vn,
8,ViettelPay (Viettel Money),ViettelPay,Mobile Money / Digital Bank,Viettel Group,Active,2018,15M+,Hanoi,viettelmoney.vn,
9,MB App (MB Bank),MB App,Digital Banking App,Military Bank (MB),Active,2019,20M+,Hanoi,mbbank.com.vn,
10,Techcombank Mobile,TCB Mobile,Digital Banking App,Techcombank,Active,2019,10M+,Ho Chi Minh City,techcombank.com.vn,
