ID,Company Name,Trading Name,Sector,Member Type,VIFC Location,Status,Country,Website,Notable Detail
1,Makara Capital Vietnam Holdings,Makara Capital,Investment & Capital Management,Certified Member,Da Nang,Active,Vietnam,,Investment and capital management firm
2,Bybit Technology Vietnam,Bybit,Cryptocurrency Exchange,Certified Member,Da Nang,Active,Singapore/Vietnam,bybit.com,Major global crypto exchange
3,9Pay,9Pay,Digital Payments,Certified Member,Da Nang,Active,Vietnam,9pay.vn,Digital payments platform
4,Da Nang Fintech Lab,Da Nang Fintech Lab,Fintech Incubation,Certified Member,Da Nang,Active,Vietnam,,Fintech development and incubation
5,Siglaw IFC,Siglaw IFC,Legal Services,Certified Member,Da Nang,Active,Vietnam,siglaw.vn,Legal services for IFC operations
6,"DTC Pay Vietnam JSC",DTCPay,Digital Payments,Certified Member,Da Nang,Active,Vietnam/Singapore,dtcpay.com,Digital payment processing
7,PayD,PayD,Payment Solutions,Certified Member,Da Nang,Active,Vietnam,,Payment solutions provider
8,Apex Vietnam IFC Services,Apex Group,Fund Administration,Certified Member,Da Nang,Active,Global,apexgroup.com,Part of global Apex Group — fund administration
9,Valverde Investment Partners Pte. Ltd.,Valverde,Investment Management,Certified Member,Da Nang,Active,Singapore,,Singapore-based investment management
10,Misa NovaFinX,Misa NovaFinX,Fintech Software,Certified Member,Da Nang,Active,Vietnam,,Financial technology and software
11,VRC Solutions,VRC Solutions,Technology,Certified Member,Da Nang,Active,Vietnam,,Technology solutions
12,Remi Tech,Remi Tech,Technology,Certified Member,Da Nang,Active,Vietnam,,Technology services
13,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Vietcombank,Banking,Certified Member,Da Nang,Active,Vietnam,vietcombank.com.vn,"Largest state-owned bank; planning VIFC subsidiary"
14,Vietnam Joint Stock Commercial Bank for Industry and Trade,VietinBank,Banking,Certified Member,Da Nang,Active,Vietnam,vietinbank.vn,Studying subsidiary with MUFG (Japan)
15,Vikki Digital Bank,Vikki Bank,Digital Banking,Certified Member,Da Nang,Active,Vietnam,,Digital banking platform
16,Sovico Group,Sovico,Conglomerate (Aviation/Finance/Real Estate),Founding Member,Da Nang / Ho Chi Minh City,Active,Vietnam,sovico.com.vn,"HCMC Founding Member + Da Nang Letter of Interest; parent of HDBank and Vietjet Air"
17,Military Commercial Joint Stock Bank,MB Bank,Banking,Founding Member,Ho Chi Minh City,Active,Vietnam,mbbank.com.vn,One of Vietnam's largest banks
18,Tien Phong Commercial Joint Stock Bank,TPBank,Banking,Founding Member,Ho Chi Minh City,Active,Vietnam,tpb.vn,Digital-forward Vietnamese bank
19,Saigon - Hanoi Commercial Joint Stock Bank,SHB,Banking,Founding Member,Ho Chi Minh City,Active,Vietnam,shb.com.vn,Major commercial bank
20,SonKim Capital,SonKim Capital,Investment,Founding Member,Ho Chi Minh City,Active,Vietnam,,Vietnamese investment firm (real estate and finance)
21,VinaCapital Group,VinaCapital,Asset Management,Founding Member,Ho Chi Minh City,Active,Vietnam,vinacapital.com,"Vietnam's largest domestic asset manager; $4.5B AUM"
22,Nasdaq Inc.,Nasdaq,Stock Exchange & Technology,Founding Member,Ho Chi Minh City,Active,USA,nasdaq.com,Global stock exchange and technology provider
23,Nam A Commercial Joint Stock Bank,Nam A Bank,Banking,Strategic Member,Ho Chi Minh City,Active,Vietnam,namabank.com.vn,Secured shareholder approval for VIFC subsidiary
