Category,Name,Note,Volume
Agricultural,Robusta Coffee,Vietnam is #1 global Robusta producer (40% of world supply),Very High
Agricultural,Arabica Coffee,Growing production in Central Highlands,High
Agricultural,Cashew Nuts,Vietnam is #1 global exporter of processed cashews,Medium
Agricultural,Rubber,3rd largest producer in the world,High
Agricultural,Rice,"3rd largest exporter globally, 43M tons/year",Medium
Agricultural,Pepper,#1 global exporter of black pepper,Medium
Agricultural,Cocoa,Linked to ICE Futures,Medium
Agricultural,Sugar (Raw & White),ICE-linked contracts,Medium
Agricultural,Corn / Soybeans / Wheat,"CME-linked, feed grain imports",High
Metals & Energy,Steel (HRC),Vietnam is ASEAN's largest steel producer (20M+ tons),High
Metals & Energy,Copper,LME-linked contracts,Medium
Metals & Energy,Tin,Vietnam is a top-10 tin producer,Medium
Metals & Energy,Crude Oil (WTI & Brent),CME/ICE-linked,High
Metals & Energy,Natural Gas,"CME-linked, growing domestic demand",Medium
Metals & Energy,Gold,Domestic spot + international futures,Low
